id,price,avg_bill,middle_avg_bill,middle_coffee_cup
045780ada3474c57a2112e505d74b633,выше среднего,Средний счёт:1500–1600 ₽,1550.0,
1070b6b59144425896c65889347fcff6,средние,Средний счёт:от 1000 ₽,1000.0,
03ac7cd772104f65b58b349dc59f03ee,,Цена чашки капучино:155–185 ₽,,170.0
a163aada139c4c7f87b0b1c0b466a50f,средние,Средний счёт:400–600 ₽,500.0,
8a343546b24e4a499ad96eb7d0797a8a,средние,,,
96ebceb1a09e4e3191133b9fe0379a64,средние,Средний счёт:199 ₽,199.0,
0243288b78024af090b8e947842c969c,средние,Средний счёт:200–300 ₽,250.0,
36aeb0ffa69c48fdb0021549520deb10,средние,Средний счёт:от 500 ₽,500.0,
487167877eb04288bc90d4fa80646fc2,средние,Средний счёт:1000–1200 ₽,1100.0,
ac32978af97641bfacf996e7f5a50ee5,средние,Цена бокала пива:250–350 ₽,,
9384a51a4b2749759234df689b3a4857,средние,Средний счёт:330 ₽,330.0,
b9469750090f4a19829cc717bc369988,выше среднего,Средний счёт:1500 ₽,1500.0,
9b8421c55aef47efa4c6bc9e6fb4c239,средние,Средний счёт:300–500 ₽,400.0,
ccda3acc54e34bfcac4d6a25a5205bcb,средние,Средний счёт:140–350 ₽,245.0,
b55465d0869648a295ad1d85ed9b5c4f,средние,Средний счёт:350–500 ₽,425.0,
06e4244f6832490ea35c0c1f8824bb30,средние,Средний счёт:200–300 ₽,250.0,
1b831beddbde4c58bc8f6b7fa2c269c2,средние,Средний счёт:300–1500 ₽,900.0,
cb3ade780c844bb496655304fe7f0db0,,Средний счёт:от 240 ₽,240.0,
719ea5c29b6e404793a172082ea77cdc,средние,Средний счёт:400–600 ₽,500.0,
7c6e417df5404b2dbc47e54469cd494c,средние,Средний счёт:200–250 ₽,225.0,
4e5314c970cc47c58e5d24ee3ee70fa9,,Средний счёт:328 ₽,328.0,
da89ee7584774dbe83532bbc4c5fa38a,средние,Средний счёт:300 ₽,300.0,
629ac86faa0b4ca49eda1ee27cbda5bb,,Средний счёт:от 500 ₽,500.0,
b95ef9fec9a14bf4a0371c6790916e61,средние,Средний счёт:от 345 ₽,345.0,
f3cbcefec46e4955adf8c08fc94e4321,средние,Средний счёт:60–400 ₽,230.0,
a8bbd74669074068ab44bc567022ee27,,Средний счёт:900 ₽,900.0,
c395c75fe0bf4698909c948e6bee9811,средние,Средний счёт:500–800 ₽,650.0,
0009f005d6fb47c6b067db5084f4e05a,средние,Средний счёт:500–800 ₽,650.0,
d4a9cc64dc334ed99354c20ac0272642,средние,Средний счёт:500–1000 ₽,750.0,
16ec97cbbf3144e396d2f4be5f75f234,средние,Средний счёт:600–700 ₽,650.0,
e8a72745632c447d86c46a1e96c20f08,средние,Средний счёт:600–700 ₽,650.0,
fca6820ccef64456b90326102d6aebb7,средние,Цена бокала пива:120–350 ₽,,
f91a7835d9c54af497c162760833aeb0,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
40df7d2174f746269f1d73d481d09ceb,высокие,Средний счёт:1500–2000 ₽,1750.0,
b06125653db34a9886dedc249350bc5c,средние,Цена чашки капучино:150–190 ₽,,170.0
cbff663fdfcb45dbae7a8ade8fbdb8f7,высокие,Средний счёт:2000–2500 ₽,2250.0,
a1f33207c64a493bb834480635b89e77,средние,Средний счёт:500–1000 ₽,750.0,
d63b1c6684254a53996aefaf6a007447,средние,Средний счёт:600 ₽,600.0,
2bc92f30f02d4afbb8918987acccf391,средние,Средний счёт:450 ₽,450.0,
22d07638b1d449528e272ed08c32cc10,,Цена чашки капучино:120–170 ₽,,145.0
3793bd736bbb4dd08f734d53bfa57b24,,Средний счёт:300 ₽,300.0,
e6ee97237ea34e5795a7b41612234a91,средние,Средний счёт:100–500 ₽,300.0,
807c41556ba0483ea1f5599566715f48,средние,Средний счёт:от 850 ₽,850.0,
9ddc4ae683d14ce786ed17cc5974ad15,средние,Цена чашки капучино:100–200 ₽,,150.0
e6c0f58cdfad4fab8f0ac8a0f5e1df3c,средние,Средний счёт:250–600 ₽,425.0,
4f819782d5134666bc8f05972db3d3d0,высокие,Средний счёт:2100 ₽,2100.0,
ac5fe883c661419594dd754bdf7ab4ae,средние,,,
62fc06f5aa2348e7a630e24ae8b4bd5c,,Средний счёт:349 ₽,349.0,
670b0b0cf7f449078be63932ee9f2139,средние,Цена бокала пива:90–230 ₽,,
aa59cabada7840ab9809996ad0dbc60e,средние,Средний счёт:350–500 ₽,425.0,
e111050683f042d1abae7185fd1fa19c,низкие,Цена чашки капучино:150–210 ₽,,180.0
5517cbebc52a43609337e35d8b07fe5b,средние,Средний счёт:150–250 ₽,200.0,
586e234ec7514b969860e5edb3d098d4,средние,Средний счёт:300–500 ₽,400.0,
359d8fa20c3a4eecae7f7e7eb0014878,низкие,Средний счёт:от 120 ₽,120.0,
6f299f985088491b8c656ef1d3eea7b5,,Цена чашки капучино:80–160 ₽,,120.0
ec7ff4c3b5124197ac5421c10b3c6649,,Средний счёт:269 ₽,269.0,
ae11352e557b4503a93501038785c9ae,средние,Средний счёт:300–500 ₽,400.0,
53f423366c074b62a66d70e16ab7ad0d,выше среднего,Средний счёт:600–2000 ₽,1300.0,
9bef95027fe141b9919eda2dd95faf91,,Средний счёт:700–800 ₽,750.0,
2124cbe77a374051b1864223e6da4447,средние,,,
629c79422ce344f6af90d53e3454574b,средние,Средний счёт:500–700 ₽,600.0,
17822fe4f52a4ba7bdc75adcd0c5bef4,выше среднего,Средний счёт:300–2000 ₽,1150.0,
18c93e46d3c84f36a71dcb472336498e,,Средний счёт:355 ₽,355.0,
530a07b438d6481a945c0ea47ecf1b84,,Средний счёт:от 200 ₽,200.0,
e56bbc4861d449d39719bd2761a6da50,средние,Средний счёт:800–1200 ₽,1000.0,
837fac04abea48b98a704c74055fbeb7,низкие,Средний счёт:150–300 ₽,225.0,
db0926b019244e7fab8bcdb25a21fc79,средние,Средний счёт:500–1000 ₽,750.0,
80cea391b33548058d7ed33f80495fcf,средние,Средний счёт:500–800 ₽,650.0,
4d5d87a5347a4745985020866be6401d,средние,Средний счёт:300–700 ₽,500.0,
dff4993fa1234095af6a6bddc55ec359,средние,Средний счёт:500–800 ₽,650.0,
46f4307e93694fc78d2a1ba9fad6aa2e,средние,Средний счёт:300 ₽,300.0,
5715a978973e4986bdc90347c1cbaee8,,Средний счёт:250–300 ₽,275.0,
b9c52fe1d86a4d9e982c636aa325ab3f,средние,Средний счёт:1200 ₽,1200.0,
ff71fea33ef3446398d8946fc321fa29,средние,Цена чашки капучино:100 ₽,,100.0
08430997e8704765b498f55a6abc4b67,,Цена чашки капучино:239–274 ₽,,256.0
3d128b91095246cea31c9e6f630dbca9,средние,Средний счёт:390–460 ₽,425.0,
f51c612743bd45658b63d2a181b31135,,Средний счёт:1000–1500 ₽,1250.0,
337374d97aff4196beb2951fca3509e7,выше среднего,Средний счёт:700–1500 ₽,1100.0,
a6d7fe21530d4a1bbc3f77fca3cdf3b4,,Средний счёт:500–700 ₽,600.0,
c0ddf3d9a2574c4aa06b84babc9c37ac,средние,Средний счёт:800–1000 ₽,900.0,
42134d0e3da84a6e9ce31d09d466231c,средние,,,
6ace801d5362420cb590d87ebc6c2cd0,средние,Средний счёт:700–1000 ₽,850.0,
29503cc4b0064efcb4d0f81319b28d86,низкие,Средний счёт:240 ₽,240.0,
34fd25c6f73141d6967f2d9c72bf5f61,средние,Средний счёт:400–600 ₽,500.0,
96b8f47dc4894b73a17e80ab701516cd,,Средний счёт:500–1000 ₽,750.0,
f3415c5fceec433b8f027e16b34aab49,,Средний счёт:350–500 ₽,425.0,
310f256c1ab94cbb970a8823d1942808,,Средний счёт:500–1000 ₽,750.0,
91ec9fe50dd94ef6954daa6dabc505e9,средние,Средний счёт:1000 ₽,1000.0,
20171f4969514f9f81e69649d23caa03,средние,Средний счёт:350–800 ₽,575.0,
7cbcc86934274a36b6725a99f3d158e6,средние,Средний счёт:600–700 ₽,650.0,
3dbf0e27e0364c4e9473c5ec26a173cf,выше среднего,Средний счёт:1200–1800 ₽,1500.0,
bfa2b521422e428bb9cdf67bd0bcf2c4,средние,Средний счёт:500–1000 ₽,750.0,
261e5ff7c34c4c7aba22ca7deafb4d0b,средние,Средний счёт:350 ₽,350.0,
5d09d0b9f50a44b89d7746af1d646516,средние,Средний счёт:1000–1200 ₽,1100.0,
29ae2ebbfa264dbd93cbe970a14b522a,средние,Средний счёт:от 700 ₽,700.0,
ee048f9c7d4a405295a706dfe7bf5239,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
1bf04da3f6e04f4c957e36e8b6200d63,средние,Средний счёт:350 ₽,350.0,
fcc1534cf1a649aaab4cbde004d6fc9f,средние,Средний счёт:69–499 ₽,284.0,
fb1ebf3e3dac470f87ab9a6861f0e36a,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
7a4c4159a3104cee8ac25f0e532af3f2,выше среднего,Средний счёт:300–2000 ₽,1150.0,
615bb2141df24e95981701e317fdb1e5,,Цена чашки капучино:130–190 ₽,,160.0
8933d8aac3964c189d43982b444ce93d,,Цена чашки капучино:239–274 ₽,,256.0
ac6218d4cd524f359ba9dbd6ae22dada,выше среднего,Цена бокала пива:160–499 ₽,,
3b26c7677679402aa07e82cca575f153,выше среднего,,,
45fd1baf9ad5491cb1759e1aed7c432c,средние,Средний счёт:200–350 ₽,275.0,
3bc75ecfb33c435eb84852516c330768,,Средний счёт:100–200 ₽,150.0,
9f87520e8ba3485c978a9e5f571a32b5,средние,Средний счёт:800–1200 ₽,1000.0,
53b021522917425aa6c1bca26a1ea367,,Средний счёт:200–300 ₽,250.0,
132c1d8d369f48ab9ef1419da68bedc5,средние,Средний счёт:350–500 ₽,425.0,
4e5301e5e62c442faef11c1043308883,средние,Средний счёт:800–1200 ₽,1000.0,
4539b3eca3494f30bb190e3a3582a559,,Средний счёт:362 ₽,362.0,
c2b46b8115f64cf68be52172c87c6a7a,средние,Средний счёт:150–500 ₽,325.0,
306e1ceaaf0e42799df106e3e95d6526,,Средний счёт:от 500 ₽,500.0,
e49b1641b43c4a8a916981a33db169e1,высокие,Средний счёт:2000 ₽,2000.0,
64ef57fa7eaf467bae2ab1466f83c124,средние,Средний счёт:150–300 ₽,225.0,
97a72b3307984f8faf8627548d8a8db5,средние,Средний счёт:250–300 ₽,275.0,
b869986e5906446fb99cc68c6405077e,,Средний счёт:291 ₽,291.0,
074c337d31a549bf9da00452b8335a82,средние,Средний счёт:от 700 ₽,700.0,
e777cae7ef134f538746f30abc97f0b9,,Средний счёт:260–300 ₽,280.0,
3c254fa3d53f47a8993db6d111ccafb4,,Средний счёт:250–400 ₽,325.0,
81ce0f48a4404ff1bc2833ca23092af3,высокие,Средний счёт:1500–3000 ₽,2250.0,
9ddef4fccfb54baea506e52c9e4af7d9,высокие,Средний счёт:2500–3000 ₽,2750.0,
46aecab9dc614bf2bdbe366b3d525670,средние,Средний счёт:1000 ₽,1000.0,
e57ed8bf02e0406dbcbc70dd72801541,выше среднего,Средний счёт:от 1500 ₽,1500.0,
81ef36f91236455b88348ff85b64d803,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
4f75bbe103064313a03ddf510f7e402a,средние,Средний счёт:400–500 ₽,450.0,
f5223c499fb34df38aca0a8cd8a29dcb,средние,Средний счёт:350–550 ₽,450.0,
